DATE,IRLTLT01USM156N,IRLTLT01DEM156N,IRLTLT01FRM156N,IRLTLT01ITM156N,IRLTLT01GBM156N,IRLTLT01JPM156N,IRLTLT01ESM156N,IRLTLT01PTM156N,IRLTLT01GRM156N
1990-01-01,8.21,7.695,9.54,,10.89,6.449,14.49,,
1990-02-01,8.47,8.574999999999998,9.97,,11.33,6.778,14.62,,
1990-03-01,8.59,8.644999999999998,9.98,,12.42,6.899,14.86,,
1990-04-01,8.79,8.762499999999998,9.59,,12.74,6.906000000000001,14.79,,
1990-05-01,8.76,8.715,9.56,,12.41,6.507999999999999,14.63,,
1990-06-01,8.48,8.832499999999998,9.69,,11.8,6.421,14.49,,
1990-07-01,8.47,8.545,9.59,,11.84,6.772,14.45,,
1990-08-01,8.75,8.9975,10.06,,12.15,7.62,14.67,,
1990-09-01,8.89,9.105,10.49,,12.1,8.032,15.14,,
1990-10-01,8.72,9.0675,10.38,,11.74,7.599999999999999,14.86,,
1990-11-01,8.39,8.9325,10.21,,11.37,7.08,14.59,,
1990-12-01,8.08,8.845,9.94,,10.84,6.454,14.54,,
1991-01-01,8.09,8.9275,9.77,,10.59,6.432,14.52,,
1991-02-01,7.85,8.349999999999998,9.12,,10.13,6.309,14.13,,
1991-03-01,8.11,8.4275,9.05,13.767,10.29,6.591,13.15,,
1991-04-01,8.04,8.3575,8.9,13.433,10.19,6.64,12.53,,
1991-05-01,8.07,8.394999999999998,8.88,13.06,10.38,6.637,11.86,,
1991-06-01,8.28,8.4075,9.15,13.094,10.58,6.735,11.92,,
1991-07-01,8.27,8.6325,9.19,13.337,10.28,6.67,12.15,,
1991-08-01,7.9,8.519999999999998,9.11,13.448,10.03,6.414,12.09,,
1991-09-01,7.65,8.455,8.88,13.017,9.64,6.081,11.58,,
1991-10-01,7.53,8.3475,8.8,12.791,9.72,5.885,11.62,,
1991-11-01,7.42,8.314999999999998,8.81,12.908,9.77,5.927,11.4572,,
1991-12-01,7.09,8.2125,8.8,12.952,9.66,5.719,11.3194117647059,,
1992-01-01,7.03,7.947499999999998,8.46,12.677,9.46,5.449,10.926555555555598,,
1992-02-01,7.34,7.92,8.46,12.608,9.3,5.578,10.7922105263158,,
1992-03-01,7.54,8.0275,8.59,12.575,9.68,5.531000000000001,10.7961904761905,,
1992-04-01,7.48,8.035,8.68,12.69,9.43,5.71,10.8713,,
1992-05-01,7.39,8.074999999999998,8.59,12.579,9.02,5.739,10.8467368421053,,
1992-06-01,7.26,8.0675,8.74,13.102,9.12,5.64,11.340772727272698,,
1992-07-01,6.84,8.125,8.9,13.63,9.05,5.408,11.8274347826087,,
1992-08-01,6.59,8.04,9.05,13.679,9.35,5.112,12.2228095238095,,
1992-09-01,6.42,7.6525,8.75,14.113,9.19,5.021,12.6455454545455,,
1992-10-01,6.59,7.452499999999999,8.44,14.419,8.65,5.015,12.999476190476196,,
1992-11-01,6.87,7.36,8.15,13.466,8.189999999999998,4.868,12.54045,,
1992-12-01,6.77,7.32,8.21,13.659,8.32,4.848,12.5328,,
1993-01-01,6.6,7.1325,7.97,13.43,8.29,4.723,12.1545789473684,,
1993-02-01,6.26,6.905,7.79,13.062,7.95,4.409,11.43145,,
1993-03-01,5.98,6.6375,7.35,12.902,7.72,4.3180000000000005,11.3499090909091,,
1993-04-01,5.97,6.6775,7.16,13.107,7.889999999999999,4.593,11.4856,,
1993-05-01,6.04,6.83,7.19,12.463,8.15,4.9430000000000005,11.217619047619,,
1993-06-01,5.96,6.8075,7.01,11.673,7.96,4.836,10.5674090909091,,
1993-07-01,5.81,6.6075,6.75,11.097,7.62,4.517,10.219,10.67,
1993-08-01,5.68,6.3725,6.34,9.764,7.07,4.407,9.481380952380947,10.37,
1993-09-01,5.36,6.19,6.14,9.469,6.96,4.016,9.09327272727273,9.73,
1993-10-01,5.33,5.985,5.98,9.015,6.87,3.931,8.687599999999998,9.27,
1993-11-01,5.72,5.9825,6.03,9.333,6.85,3.762,8.56105,9.39,
1993-12-01,5.77,5.83,5.8,8.933,6.4253,3.3960000000000004,8.28066666666667,9.19,
1994-01-01,5.75,5.815,5.67,8.670999999999998,6.3794,3.597,7.985649999999999,8.93,
1994-02-01,5.97,6.135,5.97,8.767000000000001,6.7572,4.041,8.080999999999998,8.58,
1994-03-01,6.48,6.345,6.38,9.445,7.417000000000002,4.453,8.82740909090909,8.97,
1994-04-01,6.97,6.607,6.69,9.047,7.840099999999999,4.093,9.0593,9.26,
1994-05-01,7.18,6.6635,6.98,9.371,8.2825,3.984,9.5482380952381,9.96,
1994-06-01,7.1,7.05238095238095,7.5,10.477,8.710499999999998,4.278,10.2834090909091,10.84,
1994-07-01,7.3,6.89619047619048,7.39,10.768,8.532999999999998,4.531000000000001,10.58835,11.33,
1994-08-01,7.24,7.0895652173913,7.65,11.458,8.6524,4.778,10.678,11.42,
1994-09-01,7.46,7.51545454545455,8.1,11.937,8.8959,4.642,11.2215714285714,11.75,
1994-10-01,7.74,7.5415,8.19,12.071,8.7797,4.684,11.13525,11.59,
1994-11-01,7.96,7.491428571428571,8.14,12.023,8.6361,4.718,11.1849473684211,11.51,
1994-12-01,7.81,7.460952380952381,8.03,12.196,8.5814,4.561,11.3803684210526,11.6,
1995-01-01,7.78,7.595909090909092,8.22,12.371,8.734899999999998,4.605,11.8622380952381,11.79,
1995-02-01,7.47,7.424,8.01,12.392,8.655699999999998,4.515,11.59595,11.7,
1995-03-01,7.2,7.27739130434783,8.03,13.453,8.5938,4.113,12.2609090909091,11.98,
1995-04-01,7.06,7.0883333333333285,7.81,13.405,8.437799999999998,3.545,12.0916111111111,12.17,
1995-05-01,6.63,6.86238095238095,7.52,12.299,8.1802,3.386,11.4114,11.91,
1995-06-01,6.17,6.783,7.45,12.383,8.1097,3.0239999999999996,11.5375909090909,11.89,
1995-07-01,6.28,6.86238095238095,7.45,12.212,8.2613,2.933,11.334,11.69,
1995-08-01,6.49,6.74608695652174,7.33,11.656,8.116899999999998,3.215,10.9710454545455,11.31,
1995-09-01,6.2,6.5852380952381,7.35,11.544,7.9486,3.03,10.8025714285714,11.15,
1995-10-01,6.04,6.565238095238099,7.49,11.962,8.0967,2.925,10.8933333333333,11.22,
1995-11-01,5.93,6.34181818181818,7.04,11.628,7.7752,3.048,10.54085,10.74,
1995-12-01,5.71,6.07473684210526,6.71,11.171,7.4926,2.983,9.94972222222222,10.03,
1996-01-01,5.65,5.8872727272727285,6.47,10.432,7.4408,3.12,9.464318181818177,9.44,
1996-02-01,5.81,6.20428571428571,6.6,10.519,7.7618,3.2710000000000004,9.704619047619053,9.45,
1996-03-01,6.27,6.445238095238098,6.65,10.688,8.057,3.299,9.893300000000002,9.46,
1996-04-01,6.51,6.377000000000001,6.51,10.339,8.0602,3.301,9.323,9.06,
1996-05-01,6.74,6.446000000000001,6.47,9.696,8.087099999999998,3.388,9.17065,8.97,
1996-06-01,6.91,6.55894736842105,6.56,9.57,8.054,3.252,9.10875,8.88,
1996-07-01,6.87,6.478695652173911,6.49,9.428,7.9162,3.2939999999999996,8.775869565217391,8.71,
1996-08-01,6.64,6.3022727272727295,6.41,9.484,7.8219,3.209,8.861714285714289,8.71,
1996-09-01,6.83,6.22666666666667,6.29,9.168,7.8151,2.928,8.43571428571429,8.32,
1996-10-01,6.53,6.00863636363636,5.98,8.233,7.541299999999999,2.8,7.760130434782609,7.59,
1996-11-01,6.2,5.85952380952381,5.83,7.692999999999999,7.5952,2.759,7.3421,7.17,
1996-12-01,6.3,5.79,5.75,7.565,7.5716,2.597,6.997368421052631,6.95,
1997-01-01,6.58,5.804090909090911,5.69,7.375,7.5552,2.632,6.8313333333333315,6.72,
1997-02-01,6.42,5.5445,5.45,7.363,7.1962,2.583,6.74085,6.66,
1997-03-01,6.69,5.71526315789474,5.67,7.869,7.454399999999999,2.524,7.03173684210526,6.87,
1997-04-01,6.89,5.86681818181818,5.81,7.737,7.638,2.382,6.95290909090909,6.8,
1997-05-01,6.71,5.76111111111111,5.71,7.32,7.1681,2.736,6.614421052631579,6.49,
1997-06-01,6.49,5.718571428571429,5.65,7.066,7.1418,2.684,6.4673809523809505,6.41,9.15
1997-07-01,6.22,5.55652173913044,5.44,6.518,7.0577,2.505,6.21213636363636,6.26,9.42
1997-08-01,6.3,5.66,5.59,6.658,7.0893,2.354,6.3049,6.35,9.62
1997-09-01,6.21,5.59272727272727,5.53,6.356,6.8216,2.21,6.086761904761901,6.13,9.43
1997-10-01,6.03,5.57818181818182,5.6,6.197,6.5109,1.994,5.9752173913043505,5.98,9.3
1997-11-01,5.88,5.5565,5.57,6.132999999999999,6.624,1.941,5.95715,5.96,10.76
1997-12-01,5.81,5.32736842105263,5.32,5.738,6.3739,1.939,5.643619047619048,5.67,10.48
1998-01-01,5.54,5.11238095238095,5.12,5.434,6.0978,1.948,5.39705,5.4,11.03
1998-02-01,5.57,4.989,5.04,5.375,6.0461,2.0,5.2353,5.32,11.03
1998-03-01,5.65,4.89954545454545,4.96,5.198,5.992000000000001,1.855,5.085857142857139,5.25,9.27
1998-04-01,5.64,4.902,4.97,5.146,5.8249,1.867,5.06345,5.17,8.11
