Date,Contract,Delivery,Price
2026-04-01,NGJ26.NYM,Apr ' 26,3.0899999141693115
2026-05-01,NGK26.NYM,May ' 26,3.0880000591278076
2026-06-01,NGM26.NYM,Jun ' 26,3.239000082015991
2026-07-01,NGN26.NYM,Jul ' 26,3.506999969482422
2026-08-01,NGQ26.NYM,Aug ' 26,3.5980000495910645
2026-09-01,NGU26.NYM,Sep ' 26,3.5810000896453857
2026-10-01,NGV26.NYM,Oct ' 26,3.6410000324249268
2026-11-01,NGX26.NYM,Nov ' 26,3.9049999713897705
2026-12-01,NGZ26.NYM,Dec ' 26,4.620999813079834
2027-01-01,NGF27.NYM,Jan ' 27,4.999000072479248
2027-02-01,NGG27.NYM,Feb ' 27,4.460999965667725
2027-03-01,NGH27.NYM,Mar ' 27,3.5360000133514404
2027-04-01,NGJ27.NYM,Apr ' 27,3.2070000171661377
2027-05-01,NGK27.NYM,May ' 27,3.1589999198913574
2027-06-01,NGM27.NYM,Jun ' 27,3.2960000038146973
2027-07-01,NGN27.NYM,Jul ' 27,3.4809999465942383
2027-08-01,NGQ27.NYM,Aug ' 27,3.5409998893737793
2027-09-01,NGU27.NYM,Sep ' 27,3.5280001163482666
2027-10-01,NGV27.NYM,Oct ' 27,3.5959999561309814
2027-11-01,NGX27.NYM,Nov ' 27,3.825000047683716
2027-12-01,NGZ27.NYM,Dec ' 27,4.453000068664551
