Date,Price
2026-01-01,88731.984375
2026-01-02,89944.6953125
2026-01-03,90603.1875
2026-01-04,91413.4921875
2026-01-05,93882.5546875
2026-01-06,93729.03125
2026-01-07,91308.0546875
2026-01-08,91027.125
2026-01-09,90513.1015625
2026-01-10,90386.6484375
2026-01-11,90827.4609375
2026-01-12,91192.9921875
2026-01-13,95321.78125
2026-01-14,96929.328125
2026-01-15,95551.1875
2026-01-16,95525.1171875
2026-01-17,95099.921875
2026-01-18,93634.4296875
2026-01-19,92553.59375
2026-01-20,88310.90625
2026-01-21,89376.9609375
2026-01-22,89462.453125
2026-01-23,89503.875
2026-01-24,89110.734375
2026-01-25,86572.21875
2026-01-26,88267.140625
2026-01-27,89102.5703125
2026-01-28,89184.5703125
2026-01-29,84561.5859375
2026-01-30,84128.65625
2026-01-31,78621.1171875
2026-02-01,76974.4453125
2026-02-02,78688.765625
2026-02-03,75633.546875
2026-02-04,73019.703125
2026-02-05,62702.09765625
2026-02-06,70555.390625
2026-02-07,69281.96875
2026-02-08,70264.7265625
2026-02-09,70120.78125
2026-02-10,68793.9609375
2026-02-11,66991.96875
2026-02-12,66221.84375
2026-02-13,68857.84375
2026-02-14,69767.625
2026-02-15,68788.1875
2026-02-16,68843.15625
2026-02-17,67494.21875
2026-02-18,66425.3203125
2026-02-19,66957.5234375
2026-02-20,68005.421875
2026-02-21,68003.765625
2026-02-22,67659.390625
2026-02-23,64616.73828125
2026-02-24,64080.04296875
2026-02-25,67960.125
2026-02-26,67453.7734375
2026-02-27,65881.796875
2026-02-28,66995.859375
2026-03-01,65738.1015625
2026-03-02,68775.8515625
2026-03-03,68293.6484375
2026-03-04,72710.578125
2026-03-05,70841.125
2026-03-06,68136.4921875
2026-03-07,67272.59375
2026-03-08,65969.78125
2026-03-09,68402.3828125
2026-03-10,69926.921875
2026-03-11,70204.8828125
2026-03-12,70493.4609375
2026-03-13,70968.265625
2026-03-14,71214.625
2026-03-15,72789.9140625
2026-03-16,74861.0859375
2026-03-17,73922.4765625
2026-03-18,71245.578125
2026-03-19,69912.7890625
2026-03-20,70522.5859375
2026-03-21,68711.5234375
2026-03-22,67845.2109375
2026-03-23,70914.859375
2026-03-24,70517.859375
2026-03-25,71309.8828125
2026-03-26,68791.625
2026-03-27,66338.375
2026-03-28,66319.6953125
2026-03-29,65954.921875
2026-03-30,66691.4453125
2026-03-31,68233.3125
2026-04-01,68078.5546875
2026-04-02,66888.5703125
2026-04-03,66931.1015625
2026-04-04,67290.515625
2026-04-05,68981.8984375
2026-04-06,68859.828125
2026-04-07,71940.703125
2026-04-08,71123.359375
2026-04-09,71767.828125
2026-04-10,72979.046875
2026-04-11,73054.2734375
2026-04-12,70753.40625
2026-04-13,74484.640625
2026-04-14,74181.609375
2026-04-15,74805.078125
2026-04-16,75152.1328125
2026-04-17,77126.875
2026-04-18,75726.2109375
2026-04-19,73856.3515625
2026-04-20,75872.5234375
2026-04-21,76352.7734375
2026-04-22,78203.1015625
2026-04-23,78268.953125
2026-04-24,77455.3125
2026-04-25,77612.015625
2026-04-26,78657.5390625
2026-04-27,77366.625
2026-04-28,76350.671875
2026-04-29,75776.1328125
2026-04-30,76304.3203125
2026-05-01,78179.0
2026-05-02,78657.25
2026-05-03,78538.2265625
2026-05-04,79827.90625
2026-05-05,80927.0546875
2026-05-06,81427.53125
2026-05-07,80009.9921875
2026-05-08,80186.765625
2026-05-09,80664.3671875
2026-05-10,82138.9296875
2026-05-11,81728.296875
2026-05-12,80477.4921875
2026-05-13,79277.1171875
2026-05-14,81051.25
2026-05-15,79065.6796875
2026-05-16,78131.4375
2026-05-17,77429.3515625
2026-05-18,76954.171875
2026-05-19,76750.90625
2026-05-20,77457.7734375
2026-05-21,77539.171875
2026-05-22,75488.2421875
2026-05-23,76673.3671875
2026-05-24,76981.125
2026-05-25,77279.9296875
2026-05-26,75825.734375
2026-05-27,74344.703125
2026-05-28,73536.5546875
2026-05-29,73372.5234375
2026-05-30,73754.8359375
2026-05-31,73579.6875
2026-06-01,71319.7734375
2026-06-02,66703.65625
2026-06-03,64014.3671875
2026-06-04,63801.57421875
2026-06-05,60922.66796875
2026-06-06,60867.4140625
2026-06-07,63239.51953125
2026-06-08,63090.58984375
2026-06-09,61643.78125
2026-06-10,61449.2890625
2026-06-11,63561.0546875
2026-06-12,63543.19921875
2026-06-13,64421.32421875
2026-06-14,65710.3984375
2026-06-15,66289.5
2026-06-16,65600.640625
2026-06-18,62896.47265625
2026-06-20,63350.69921875
